
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 25-Sep-2023 at 13:52:54.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
    1.1000   3.1474818E+06   3.6094338E+06   3.1951115E+06
    1.1100   3.1473790E+06   3.6090862E+06   3.1951105E+06
    1.1200   3.1472840E+06   3.6087395E+06   3.1951092E+06
    1.1300   3.1471968E+06   3.6083930E+06   3.1951072E+06
    1.1400   3.1471172E+06   3.6080475E+06   3.1951048E+06
    1.1500   3.1470455E+06   3.6077022E+06   3.1951020E+06
    1.1600   3.1469818E+06   3.6073580E+06   3.1950988E+06
    1.1700   3.1469258E+06   3.6070142E+06   3.1950955E+06
    1.1800   3.1468772E+06   3.6066712E+06   3.1950920E+06
    1.1900   3.1468365E+06   3.6063290E+06   3.1950882E+06
    1.2000   3.1468030E+06   3.6059875E+06   3.1950848E+06
    1.2100   3.1467768E+06   3.6056470E+06   3.1950815E+06
    1.2200   3.1467575E+06   3.6053070E+06   3.1950782E+06
    1.2300   3.1467448E+06   3.6049680E+06   3.1950752E+06
    1.2400   3.1467388E+06   3.6046298E+06   3.1950725E+06
    1.2500   3.1467392E+06   3.6042922E+06   3.1950700E+06
    1.2600   3.1467460E+06   3.6039555E+06   3.1950678E+06
    1.2700   3.1467588E+06   3.6036195E+06   3.1950655E+06
    1.2800   3.1467775E+06   3.6032842E+06   3.1950638E+06
    1.2900   3.1468022E+06   3.6029498E+06   3.1950620E+06
    1.3000   3.1468330E+06   3.6026158E+06   3.1950600E+06
    1.3100   3.1468700E+06   3.6022822E+06   3.1950580E+06
    1.3200   3.1469128E+06   3.6019492E+06   3.1950560E+06
    1.3300   3.1469620E+06   3.6016168E+06   3.1950535E+06
    1.3400   3.1470175E+06   3.6012848E+06   3.1950508E+06
    1.3500   3.1470792E+06   3.6009530E+06   3.1950475E+06
    1.3600   3.1471478E+06   3.6006215E+06   3.1950438E+06
    1.3700   3.1472230E+06   3.6002905E+06   3.1950395E+06
    1.3800   3.1473048E+06   3.5999595E+06   3.1950345E+06
    1.3900   3.1473935E+06   3.5996288E+06   3.1950292E+06
    1.4000   3.1474892E+06   3.5992982E+06   3.1950232E+06
    1.4100   3.1475918E+06   3.5989678E+06   3.1950168E+06
    1.4200   3.1477010E+06   3.5986375E+06   3.1950100E+06
    1.4300   3.1478170E+06   3.5983072E+06   3.1950028E+06
    1.4400   3.1479392E+06   3.5979772E+06   3.1949952E+06
    1.4500   3.1480680E+06   3.5976470E+06   3.1949875E+06
    1.4600   3.1482028E+06   3.5973170E+06   3.1949798E+06
    1.4700   3.1483430E+06   3.5969868E+06   3.1949720E+06
    1.4800   3.1484888E+06   3.5966568E+06   3.1949642E+06
    1.4900   3.1486392E+06   3.5963265E+06   3.1949568E+06
    1.5000   3.1487948E+06   3.5959960E+06   3.1949492E+06
    1.5100   3.1489542E+06   3.5956655E+06   3.1949422E+06
    1.5200   3.1491180E+06   3.5953350E+06   3.1949355E+06
    1.5300   3.1492855E+06   3.5950040E+06   3.1949290E+06
    1.5400   3.1494565E+06   3.5946725E+06   3.1949230E+06
    1.5500   3.1496305E+06   3.5943408E+06   3.1949170E+06
    1.5600   3.1498078E+06   3.5940085E+06   3.1949112E+06
    1.5700   3.1499882E+06   3.5936758E+06   3.1949055E+06
    1.5800   3.1501715E+06   3.5933422E+06   3.1948998E+06
    1.5900   3.1503578E+06   3.5930082E+06   3.1948940E+06
    1.6000   3.1505468E+06   3.5926730E+06   3.1948882E+06
    1.6100   3.1507390E+06   3.5923372E+06   3.1948822E+06
    1.6200   3.1509342E+06   3.5920002E+06   3.1948758E+06
    1.6300   3.1511328E+06   3.5916620E+06   3.1948690E+06
    1.6400   3.1513342E+06   3.5913228E+06   3.1948618E+06
    1.6500   3.1515392E+06   3.5909822E+06   3.1948540E+06
    1.6600   3.1517472E+06   3.5906405E+06   3.1948460E+06
    1.6700   3.1519588E+06   3.5902972E+06   3.1948372E+06
    1.6800   3.1521732E+06   3.5899525E+06   3.1948282E+06
    1.6900   3.1523908E+06   3.5896062E+06   3.1948188E+06
    1.7000   3.1526112E+06   3.5892582E+06   3.1948088E+06
    1.7100   3.1528342E+06   3.5889090E+06   3.1947988E+06
    1.7200   3.1530595E+06   3.5885578E+06   3.1947885E+06
    1.7300   3.1532868E+06   3.5882048E+06   3.1947782E+06
    1.7400   3.1535155E+06   3.5878502E+06   3.1947678E+06
    1.7500   3.1537452E+06   3.5874935E+06   3.1947575E+06
    1.7600   3.1539760E+06   3.5871352E+06   3.1947475E+06
    1.7700   3.1542070E+06   3.5867748E+06   3.1947378E+06
    1.7800   3.1544378E+06   3.5864125E+06   3.1947282E+06
    1.7900   3.1546682E+06   3.5860480E+06   3.1947192E+06
    1.8000   3.1548978E+06   3.5856812E+06   3.1947105E+06
    1.8100   3.1551260E+06   3.5853122E+06   3.1947022E+06
    1.8200   3.1553530E+06   3.5849412E+06   3.1946942E+06
    1.8300   3.1555785E+06   3.5845675E+06   3.1946865E+06
    1.8400   3.1558020E+06   3.5841915E+06   3.1946792E+06
    1.8500   3.1560238E+06   3.5838128E+06   3.1946720E+06
    1.8600   3.1562438E+06   3.5834312E+06   3.1946650E+06
    1.8700   3.1564620E+06   3.5830472E+06   3.1946578E+06
    1.8800   3.1566782E+06   3.5826602E+06   3.1946508E+06
    1.8900   3.1568928E+06   3.5822702E+06   3.1946435E+06
    1.9000   3.1571058E+06   3.5818770E+06   3.1946360E+06
    1.9100   3.1573172E+06   3.5814810E+06   3.1946282E+06
    1.9200   3.1575270E+06   3.5810815E+06   3.1946200E+06
    1.9300   3.1577355E+06   3.5806788E+06   3.1946115E+06
    1.9400   3.1579425E+06   3.5802728E+06   3.1946028E+06
    1.9500   3.1581478E+06   3.5798630E+06   3.1945935E+06
    1.9600   3.1583515E+06   3.5794500E+06   3.1945840E+06
    1.9700   3.1585532E+06   3.5790335E+06   3.1945740E+06
    1.9800   3.1587530E+06   3.5786132E+06   3.1945640E+06
    1.9900   3.1589502E+06   3.5781892E+06   3.1945538E+06
    2.0000   3.1591450E+06   3.5777618E+06   3.1945435E+06
    2.0100   3.1593365E+06   3.5773305E+06   3.1945335E+06
    2.0200   3.1595248E+06   3.5768955E+06   3.1945232E+06
    2.0300   3.1597090E+06   3.5764568E+06   3.1945135E+06
    2.0400   3.1598888E+06   3.5760140E+06   3.1945040E+06
    2.0500   3.1600640E+06   3.5755675E+06   3.1944950E+06
    2.0600   3.1602342E+06   3.5751170E+06   3.1944862E+06
    2.0700   3.1603990E+06   3.5746625E+06   3.1944780E+06
    2.0800   3.1605582E+06   3.5742040E+06   3.1944702E+06
    2.0900   3.1607115E+06   3.5737415E+06   3.1944630E+06
    2.1000   3.1608590E+06   3.5732748E+06   3.1944562E+06
    2.1100   3.1610002E+06   3.5728038E+06   3.1944498E+06
    2.1200   3.1611352E+06   3.5723288E+06   3.1944438E+06
    2.1300   3.1612645E+06   3.5718492E+06   3.1944378E+06
    2.1400   3.1613875E+06   3.5713655E+06   3.1944322E+06
    2.1500   3.1615050E+06   3.5708775E+06   3.1944268E+06
    2.1600   3.1616165E+06   3.5703848E+06   3.1944212E+06
    2.1700   3.1617228E+06   3.5698875E+06   3.1944155E+06
    2.1800   3.1618235E+06   3.5693858E+06   3.1944098E+06
    2.1900   3.1619190E+06   3.5688792E+06   3.1944038E+06
    2.2000   3.1620095E+06   3.5683682E+06   3.1943978E+06
    2.2100   3.1620950E+06   3.5678525E+06   3.1943912E+06
    2.2200   3.1621755E+06   3.5673318E+06   3.1943845E+06
    2.2300   3.1622510E+06   3.5668065E+06   3.1943772E+06
    2.2400   3.1623215E+06   3.5662765E+06   3.1943700E+06
    2.2500   3.1623868E+06   3.5657418E+06   3.1943625E+06
    2.2600   3.1624468E+06   3.5652020E+06   3.1943550E+06
    2.2700   3.1625010E+06   3.5646578E+06   3.1943472E+06
    2.2800   3.1625492E+06   3.5641085E+06   3.1943398E+06
    2.2900   3.1625912E+06   3.5635548E+06   3.1943322E+06
    2.3000   3.1626268E+06   3.5629962E+06   3.1943250E+06
    2.3100   3.1626555E+06   3.5624328E+06   3.1943182E+06
    2.3200   3.1626770E+06   3.5618648E+06   3.1943118E+06
    2.3300   3.1626912E+06   3.5612920E+06   3.1943055E+06
    2.3400   3.1626978E+06   3.5607148E+06   3.1943000E+06
    2.3500   3.1626965E+06   3.5601328E+06   3.1942950E+06
    2.3600   3.1626875E+06   3.5595460E+06   3.1942905E+06
    2.3700   3.1626708E+06   3.5589548E+06   3.1942868E+06
    2.3800   3.1626460E+06   3.5583590E+06   3.1942832E+06
    2.3900   3.1626135E+06   3.5577582E+06   3.1942802E+06
    2.4000   3.1625735E+06   3.5571532E+06   3.1942775E+06
    2.4100   3.1625260E+06   3.5565435E+06   3.1942752E+06
    2.4200   3.1624715E+06   3.5559290E+06   3.1942730E+06
    2.4300   3.1624102E+06   3.5553100E+06   3.1942710E+06
    2.4400   3.1623428E+06   3.5546862E+06   3.1942690E+06
    2.4500   3.1622688E+06   3.5540580E+06   3.1942668E+06
    2.4600   3.1621890E+06   3.5534252E+06   3.1942645E+06
    2.4700   3.1621035E+06   3.5527878E+06   3.1942622E+06
    2.4800   3.1620125E+06   3.5521458E+06   3.1942595E+06
    2.4900   3.1619165E+06   3.5514992E+06   3.1942565E+06
    2.5000   3.1618150E+06   3.5508482E+06   3.1942532E+06
    2.5100   3.1617085E+06   3.5501928E+06   3.1942498E+06
    2.5200   3.1615970E+06   3.5495328E+06   3.1942462E+06
    2.5300   3.1614802E+06   3.5488685E+06   3.1942422E+06
    2.5400   3.1613580E+06   3.5482000E+06   3.1942382E+06
    2.5500   3.1612305E+06   3.5475270E+06   3.1942345E+06
    2.5600   3.1610972E+06   3.5468502E+06   3.1942305E+06
    2.5700   3.1609582E+06   3.5461690E+06   3.1942268E+06
    2.5800   3.1608130E+06   3.5454840E+06   3.1942235E+06
    2.5900   3.1606618E+06   3.5447950E+06   3.1942202E+06
    2.6000   3.1605042E+06   3.5441022E+06   3.1942175E+06
    2.6100   3.1603405E+06   3.5434055E+06   3.1942152E+06
    2.6200   3.1601700E+06   3.5427052E+06   3.1942135E+06
    2.6300   3.1599935E+06   3.5420012E+06   3.1942122E+06
    2.6400   3.1598105E+06   3.5412935E+06   3.1942118E+06
    2.6500   3.1596212E+06   3.5405825E+06   3.1942115E+06
    2.6600   3.1594262E+06   3.5398680E+06   3.1942118E+06
    2.6700   3.1592258E+06   3.5391498E+06   3.1942122E+06
    2.6800   3.1590200E+06   3.5384285E+06   3.1942132E+06
    2.6900   3.1588092E+06   3.5377038E+06   3.1942142E+06
    2.7000   3.1585940E+06   3.5369758E+06   3.1942158E+06
    2.7100   3.1583748E+06   3.5362445E+06   3.1942170E+06
    2.7200   3.1581518E+06   3.5355102E+06   3.1942182E+06
    2.7300   3.1579255E+06   3.5347728E+06   3.1942192E+06
    2.7400   3.1576962E+06   3.5340322E+06   3.1942202E+06
    2.7500   3.1574645E+06   3.5332885E+06   3.1942210E+06
    2.7600   3.1572302E+06   3.5325420E+06   3.1942212E+06
    2.7700   3.1569938E+06   3.5317925E+06   3.1942212E+06
    2.7800   3.1567552E+06   3.5310405E+06   3.1942210E+06
    2.7900   3.1565150E+06   3.5302855E+06   3.1942205E+06
    2.8000   3.1562725E+06   3.5295278E+06   3.1942195E+06
    2.8100   3.1560282E+06   3.5287675E+06   3.1942185E+06
    2.8200   3.1557818E+06   3.5280050E+06   3.1942172E+06
    2.8300   3.1555332E+06   3.5272400E+06   3.1942160E+06
    2.8400   3.1552825E+06   3.5264728E+06   3.1942148E+06
    2.8500   3.1550295E+06   3.5257032E+06   3.1942138E+06
    2.8600   3.1547740E+06   3.5249318E+06   3.1942128E+06
    2.8700   3.1545160E+06   3.5241582E+06   3.1942122E+06
    2.8800   3.1542555E+06   3.5233830E+06   3.1942120E+06
    2.8900   3.1539928E+06   3.5226060E+06   3.1942120E+06
    2.9000   3.1537275E+06   3.5218272E+06   3.1942128E+06
    2.9100   3.1534600E+06   3.5210468E+06   3.1942135E+06
    2.9200   3.1531908E+06   3.5202650E+06   3.1942150E+06
    2.9300   3.1529195E+06   3.5194818E+06   3.1942168E+06
    2.9400   3.1526470E+06   3.5186970E+06   3.1942190E+06
    2.9500   3.1523735E+06   3.5179110E+06   3.1942212E+06
    2.9600   3.1520992E+06   3.5171235E+06   3.1942240E+06
    2.9700   3.1518250E+06   3.5163350E+06   3.1942265E+06
    2.9800   3.1515508E+06   3.5155455E+06   3.1942292E+06
    2.9900   3.1512775E+06   3.5147545E+06   3.1942320E+06
    3.0000   3.1510050E+06   3.5139628E+06   3.1942345E+06
    3.0100   3.1507340E+06   3.5131700E+06   3.1942365E+06
    3.0200   3.1504645E+06   3.5123760E+06   3.1942385E+06
    3.0300   3.1501972E+06   3.5115815E+06   3.1942400E+06
    3.0400   3.1499322E+06   3.5107858E+06   3.1942410E+06
    3.0500   3.1496695E+06   3.5099895E+06   3.1942418E+06
    3.0600   3.1494090E+06   3.5091925E+06   3.1942420E+06
    3.0700   3.1491512E+06   3.5083948E+06   3.1942420E+06
    3.0800   3.1488958E+06   3.5075968E+06   3.1942415E+06
    3.0900   3.1486425E+06   3.5067980E+06   3.1942408E+06
    3.1000   3.1483918E+06   3.5059990E+06   3.1942398E+06
    3.1100   3.1481432E+06   3.5051998E+06   3.1942388E+06
    3.1200   3.1478968E+06   3.5044002E+06   3.1942375E+06
    3.1300   3.1476522E+06   3.5036005E+06   3.1942365E+06
    3.1400   3.1474098E+06   3.5028010E+06   3.1942355E+06
    3.1500   3.1471692E+06   3.5020012E+06   3.1942345E+06
    3.1600   3.1469308E+06   3.5012018E+06   3.1942340E+06
    3.1700   3.1466940E+06   3.5004025E+06   3.1942338E+06
    3.1800   3.1464595E+06   3.4996035E+06   3.1942338E+06
    3.1900   3.1462272E+06   3.4988048E+06   3.1942342E+06
    3.2000   3.1459975E+06   3.4980065E+06   3.1942350E+06
    3.2100   3.1457705E+06   3.4972085E+06   3.1942360E+06
    3.2200   3.1455468E+06   3.4964110E+06   3.1942372E+06
    3.2300   3.1453262E+06   3.4956138E+06   3.1942385E+06
    3.2400   3.1451098E+06   3.4948172E+06   3.1942400E+06
    3.2500   3.1448972E+06   3.4940210E+06   3.1942415E+06
    3.2600   3.1446892E+06   3.4932255E+06   3.1942428E+06
    3.2700   3.1444860E+06   3.4924302E+06   3.1942440E+06
    3.2800   3.1442880E+06   3.4916358E+06   3.1942448E+06
    3.2900   3.1440955E+06   3.4908418E+06   3.1942452E+06
    3.3000   3.1439082E+06   3.4900485E+06   3.1942452E+06
    3.3100   3.1437270E+06   3.4892558E+06   3.1942450E+06
    3.3200   3.1435512E+06   3.4884638E+06   3.1942440E+06
    3.3300   3.1433815E+06   3.4876722E+06   3.1942425E+06
    3.3400   3.1432175E+06   3.4868818E+06   3.1942408E+06
    3.3500   3.1430592E+06   3.4860918E+06   3.1942382E+06
    3.3600   3.1429068E+06   3.4853028E+06   3.1942355E+06
    3.3700   3.1427595E+06   3.4845145E+06   3.1942322E+06
    3.3800   3.1426178E+06   3.4837272E+06   3.1942290E+06
    3.3900   3.1424812E+06   3.4829410E+06   3.1942252E+06
    3.4000   3.1423495E+06   3.4821558E+06   3.1942215E+06
    3.4100   3.1422230E+06   3.4813715E+06   3.1942178E+06
    3.4200   3.1421010E+06   3.4805885E+06   3.1942140E+06
    3.4300   3.1419838E+06   3.4798065E+06   3.1942105E+06
    3.4400   3.1418715E+06   3.4790255E+06   3.1942070E+06
    3.4500   3.1417638E+06   3.4782460E+06   3.1942038E+06
    3.4600   3.1416608E+06   3.4774675E+06   3.1942010E+06
    3.4700   3.1415630E+06   3.4766902E+06   3.1941982E+06
    3.4800   3.1414702E+06   3.4759140E+06   3.1941958E+06
    3.4900   3.1413828E+06   3.4751390E+06   3.1941938E+06
    3.5000   3.1413008E+06   3.4743652E+06   3.1941915E+06
    3.5100   3.1412245E+06   3.4735928E+06   3.1941895E+06
    3.5200   3.1411545E+06   3.4728212E+06   3.1941875E+06
    3.5300   3.1410905E+06   3.4720510E+06   3.1941855E+06
    3.5400   3.1410332E+06   3.4712818E+06   3.1941832E+06
    3.5500   3.1409825E+06   3.4705135E+06   3.1941808E+06
    3.5600   3.1409385E+06   3.4697462E+06   3.1941780E+06
    3.5700   3.1409015E+06   3.4689802E+06   3.1941748E+06
    3.5800   3.1408715E+06   3.4682150E+06   3.1941710E+06
    3.5900   3.1408485E+06   3.4674510E+06   3.1941665E+06
    3.6000   3.1408325E+06   3.4666880E+06   3.1941618E+06
    3.6100   3.1408232E+06   3.4659260E+06   3.1941565E+06
    3.6200   3.1408208E+06   3.4651650E+06   3.1941505E+06
    3.6300   3.1408245E+06   3.4644050E+06   3.1941440E+06
    3.6400   3.1408348E+06   3.4636462E+06   3.1941372E+06
    3.6500   3.1408512E+06   3.4628882E+06   3.1941300E+06
    3.6600   3.1408735E+06   3.4621315E+06   3.1941222E+06
    3.6700   3.1409012E+06   3.4613758E+06   3.1941145E+06
    3.6800   3.1409345E+06   3.4606210E+06   3.1941068E+06
    3.6900   3.1409730E+06   3.4598675E+06   3.1940988E+06
    3.7000   3.1410168E+06   3.4591150E+06   3.1940910E+06
    3.7100   3.1410655E+06   3.4583635E+06   3.1940832E+06
    3.7200   3.1411190E+06   3.4576132E+06   3.1940755E+06
    3.7300   3.1411775E+06   3.4568638E+06   3.1940682E+06
    3.7400   3.1412410E+06   3.4561152E+06   3.1940612E+06
    3.7500   3.1413095E+06   3.4553680E+06   3.1940542E+06
    3.7600   3.1413830E+06   3.4546215E+06   3.1940478E+06
    3.7700   3.1414618E+06   3.4538758E+06   3.1940412E+06
    3.7800   3.1415458E+06   3.4531308E+06   3.1940350E+06
    3.7900   3.1416352E+06   3.4523868E+06   3.1940288E+06
    3.8000   3.1417302E+06   3.4516435E+06   3.1940225E+06
    3.8100   3.1418310E+06   3.4509008E+06   3.1940162E+06
    3.8200   3.1419375E+06   3.4501588E+06   3.1940098E+06
    3.8300   3.1420500E+06   3.4494172E+06   3.1940028E+06
    3.8400   3.1421682E+06   3.4486762E+06   3.1939958E+06
    3.8500   3.1422922E+06   3.4479358E+06   3.1939880E+06
    3.8600   3.1424220E+06   3.4471960E+06   3.1939800E+06
    3.8700   3.1425575E+06   3.4464565E+06   3.1939715E+06
    3.8800   3.1426982E+06   3.4457175E+06   3.1939622E+06
    3.8900   3.1428445E+06   3.4449788E+06   3.1939525E+06
    3.9000   3.1429958E+06   3.4442405E+06   3.1939425E+06
    3.9100   3.1431518E+06   3.4435028E+06   3.1939318E+06
    3.9200   3.1433125E+06   3.4427652E+06   3.1939208E+06
    3.9300   3.1434772E+06   3.4420282E+06   3.1939092E+06
    3.9400   3.1436460E+06   3.4412915E+06   3.1938978E+06
    3.9500   3.1438188E+06   3.4405550E+06   3.1938858E+06
    3.9600   3.1439948E+06   3.4398190E+06   3.1938740E+06
    3.9700   3.1441742E+06   3.4390832E+06   3.1938620E+06
    3.9800   3.1443568E+06   3.4383475E+06   3.1938502E+06
    3.9900   3.1445422E+06   3.4376122E+06   3.1938388E+06
    4.0000   3.1447308E+06   3.4368770E+06   3.1938275E+06
    4.0100   3.1449222E+06   3.4361418E+06   3.1938165E+06
    4.0200   3.1451162E+06   3.4354068E+06   3.1938058E+06
    4.0300   3.1453135E+06   3.4346718E+06   3.1937952E+06
    4.0400   3.1455132E+06   3.4339368E+06   3.1937850E+06
    4.0500   3.1457160E+06   3.4332015E+06   3.1937750E+06
    4.0600   3.1459218E+06   3.4324662E+06   3.1937652E+06
    4.0700   3.1461308E+06   3.4317308E+06   3.1937558E+06
    4.0800   3.1463425E+06   3.4309950E+06   3.1937460E+06
    4.0900   3.1465572E+06   3.4302588E+06   3.1937362E+06
    4.1000   3.1467752E+06   3.4295222E+06   3.1937265E+06
    4.1100   3.1469962E+06   3.4287852E+06   3.1937162E+06
    4.1200   3.1472200E+06   3.4280480E+06   3.1937060E+06
    4.1300   3.1474468E+06   3.4273102E+06   3.1936952E+06
    4.1400   3.1476762E+06   3.4265720E+06   3.1936840E+06
    4.1500   3.1479082E+06   3.4258330E+06   3.1936722E+06
    4.1600   3.1481425E+06   3.4250935E+06   3.1936602E+06
    4.1700   3.1483788E+06   3.4243538E+06   3.1936475E+06
